efficiency,start_time,time_offset,end_time
91.36069,2018-04-11 02:20:00.000,UTC-0300,2018-04-11 10:02:00.000
0.0,2018-10-18 10:46:00.000,UTC-0300,2018-10-18 11:02:00.000
90.022675,2018-12-30 05:58:00.000,UTC-0400,2018-12-30 13:18:00.000
93.99142,2018-02-18 03:45:00.000,UTC-0400,2018-02-18 11:30:00.000
92.97753,2018-05-31 02:15:00.000,UTC-0300,2018-05-31 08:10:00.000
88.29175,2018-08-08 02:29:00.000,UTC-0300,2018-08-08 11:09:00.000
95.68733,2018-11-03 04:51:00.000,UTC-0300,2018-11-03 11:02:00.000
90.026955,2018-06-02 03:37:00.000,UTC-0300,2018-06-02 09:49:00.000
87.7193,2018-09-25 08:05:00.000,UTC-0300,2018-09-25 09:58:00.000
96.57258,2018-03-09 03:26:00.000,UTC-0400,2018-03-09 11:42:00.000
91.54079,2018-09-29 01:42:00.000,UTC-0300,2018-09-29 07:12:00.000
90.76923,2018-09-11 03:06:00.000,UTC-0300,2018-09-11 10:40:00.000
91.30435,2018-11-25 03:24:00.000,UTC-0400,2018-11-25 11:26:00.000
96.55172,2018-04-23 03:52:00.000,UTC-0300,2018-04-23 09:39:00.000
93.414635,2018-05-19 03:16:00.000,UTC-0300,2018-05-19 10:05:00.000
86.95652,2018-07-22 20:24:00.000,UTC-0300,2018-07-22 22:05:00.000
95.89372,2018-01-18 03:17:00.000,UTC-0400,2018-01-18 10:10:00.000
93.94572,2018-02-12 03:04:00.000,UTC-0400,2018-02-12 11:02:00.000
93.371216,2018-02-15 03:21:00.000,UTC-0400,2018-02-15 12:08:00.000
93.19728,2018-10-06 02:09:00.000,UTC-0300,2018-10-06 11:57:00.000
92.07317,2018-05-26 01:57:00.000,UTC-0300,2018-05-26 10:09:00.000
87.598946,2018-02-09 03:00:00.000,UTC-0400,2018-02-09 09:18:00.000
80.85107,2018-11-01 10:09:00.000,UTC-0300,2018-11-01 10:55:00.000
90.47619,2018-12-15 03:28:00.000,UTC-0400,2018-12-15 10:06:00.000
87.28813,2018-08-06 19:18:00.000,UTC-0300,2018-08-06 21:15:00.000
94.57505,2018-02-27 02:50:00.000,UTC-0400,2018-02-27 12:02:00.000
87.80488,2018-11-19 03:09:00.000,UTC-0400,2018-11-19 12:01:00.000
91.594826,2018-09-13 02:29:00.000,UTC-0300,2018-09-13 10:13:00.000
88.965515,2018-10-06 18:36:00.000,UTC-0300,2018-10-06 21:00:00.000
94.43156,2018-07-12 02:59:00.000,UTC-0300,2018-07-12 10:09:00.000
94.0919,2018-06-12 03:17:00.000,UTC-0300,2018-06-12 10:54:00.000
93.548386,2018-07-15 01:00:00.000,UTC-0300,2018-07-15 02:01:00.000
92.36234,2018-10-24 01:00:00.000,UTC-0300,2018-10-24 10:22:00.000
89.47369,2018-07-07 19:11:00.000,UTC-0300,2018-07-07 20:45:00.000
93.52679,2018-03-29 02:26:00.000,UTC-0300,2018-03-29 09:53:00.000
92.666664,2018-03-23 02:14:00.000,UTC-0300,2018-03-23 07:13:00.000
89.29578,2018-08-16 03:08:00.000,UTC-0300,2018-08-16 09:02:00.000
0.0,2018-01-14 10:51:00.000,UTC-0400,2018-01-14 11:07:00.000
93.04813,2018-12-09 03:17:00.000,UTC-0400,2018-12-09 09:30:00.000
94.305244,2018-06-17 02:59:00.000,UTC-0300,2018-06-17 10:17:00.000
83.67347,2018-05-09 22:39:00.000,UTC-0300,2018-05-10 00:16:00.000
93.71197,2018-04-20 02:20:00.000,UTC-0300,2018-04-20 10:32:00.000
91.2114,2018-10-30 02:41:00.000,UTC-0300,2018-10-30 09:41:00.000
95.4984,2018-03-17 03:56:00.000,UTC-0300,2018-03-17 09:06:00.000
91.876755,2018-07-05 03:26:00.000,UTC-0300,2018-07-05 09:22:00.000
83.47826,2018-08-27 14:44:00.000,UTC+0300,2018-08-27 16:38:00.000
96.36363,2018-03-03 03:55:00.000,UTC-0400,2018-03-03 10:19:00.000
89.49044,2018-11-06 01:29:00.000,UTC-0400,2018-11-06 11:56:00.000
93.333336,2018-07-13 20:33:00.000,UTC-0300,2018-07-13 22:02:00.000
85.71429,2018-01-27 10:54:00.000,UTC-0400,2018-01-27 11:14:00.000
93.31849,2018-06-22 02:53:00.000,UTC-0300,2018-06-22 10:22:00.000
88.505745,2018-07-22 02:10:00.000,UTC-0300,2018-07-22 10:51:00.000
94.58239,2018-01-14 03:25:00.000,UTC-0400,2018-01-14 10:47:00.000
93.069305,2018-05-03 08:33:00.000,UTC-0300,2018-05-03 10:13:00.000
90.48362,2018-11-09 01:51:00.000,UTC-0400,2018-11-09 12:31:00.000
85.71429,2018-09-01 20:42:00.000,UTC-0300,2018-09-01 21:44:00.000
92.24806,2018-10-05 03:30:00.000,UTC-0300,2018-10-05 09:56:00.000
89.87654,2018-12-18 05:11:00.000,UTC-0400,2018-12-18 11:55:00.000
90.50445,2018-01-27 04:47:00.000,UTC-0400,2018-01-27 10:23:00.000
88.88889,2018-12-01 20:58:00.000,UTC-0400,2018-12-01 22:18:00.000
92.741936,2018-06-29 04:19:00.000,UTC-0300,2018-06-29 10:30:00.000
94.48621,2018-10-31 02:17:00.000,UTC-0300,2018-10-31 08:56:00.000
91.434265,2017-12-22 08:57:00.000,UTC-0700,2017-12-22 17:18:00.000
91.23223,2018-09-16 03:04:00.000,UTC-0300,2018-09-16 10:05:00.000
70.0,2018-09-16 10:15:00.000,UTC-0300,2018-09-16 10:44:00.000
93.333336,2018-05-23 01:38:00.000,UTC-0300,2018-05-23 09:23:00.000
92.85714,2018-06-09 03:19:00.000,UTC-0300,2018-06-09 10:04:00.000
94.59459,2018-05-01 03:47:00.000,UTC-0300,2018-05-01 08:05:00.000
89.32238,2018-09-01 04:14:00.000,UTC-0300,2018-09-01 12:21:00.000
93.641624,2018-01-30 02:43:00.000,UTC-0400,2018-01-30 11:21:00.000
95.06726,2018-05-16 03:14:00.000,UTC-0300,2018-05-16 10:39:00.000
90.50505,2018-12-03 03:42:00.000,UTC-0400,2018-12-03 11:56:00.000
